server_name,database_name,url
791150-HQVRA,AceAwards,172.24.16.109
791150-HQVRA,AceAwardsOld,172.24.16.109
791150-HQVRA,ADSI,172.24.16.109
791150-HQVRA,CollegeSuccess,172.24.16.109
791150-HQVRA,CourseCollab,172.24.16.109
791150-HQVRA,Dashboard,172.24.16.109
791150-HQVRA,Documentation,172.24.16.109
791150-HQVRA,Dreambox,172.24.16.109
791150-HQVRA,GPTW,172.24.16.109
791150-HQVRA,IHTCampusTracker,172.24.16.109
791150-HQVRA,IndividualizedLearning,172.24.16.109
791150-HQVRA,PersistenceForecast,172.24.16.109
791150-HQVRA,RenStar,172.24.16.109
791150-HQVRA,SandBox,172.24.16.109
791150-HQVRA,SSISDB,172.24.16.109
791150-HQVRA,STMath,172.24.16.109
791150-HQVRA,TexasAccountability,172.24.16.109
791150-HQVRA,WordsRead,172.24.16.109
791150-HQVRA,LearningLocation,172.24.16.109
